2017-12-09 18:55:22 status unpacked dpkg:armhf 1.18.24
2017-12-09 18:55:22 status unpacked dpkg:armhf 1.18.24
2017-12-09 18:55:22 install e2fslibs:armhf <none> 1.43.4-2
2017-12-09 18:55:22 status half-installed e2fslibs:armhf 1.43.4-2
2017-12-09 18:55:22 status unpacked e2fslibs:armhf 1.43.4-2
2017-12-09 18:55:22 status unpacked e2fslibs:armhf 1.43.4-2
2017-12-09 18:55:23 install e2fsprogs:armhf <none> 1.43.4-2
2017-12-09 18:55:23 status half-installed e2fsprogs:armhf 1.43.4-2
2017-12-09 18:55:23 status unpacked e2fsprogs:armhf 1.43.4-2
2017-12-09 18:55:23 status unpacked e2fsprogs:armhf 1.43.4-2
2017-12-09 18:55:24 install libcomerr2:armhf <none> 1.43.4-2
2017-12-09 18:55:24 status half-installed libcomerr2:armhf 1.43.4-2
2017-12-09 18:55:24 status unpacked libcomerr2:armhf 1.43.4-2
2017-12-09 18:55:24 status unpacked libcomerr2:armhf 1.43.4-2
2017-12-09 18:55:24 install libss2:armhf <none> 1.43.4-2
2017-12-09 18:55:24 status half-installed libss2:armhf 1.43.4-2
2017-12-09 18:55:24 status unpacked libss2:armhf 1.43.4-2
2017-12-09 18:55:24 status unpacked libss2:armhf 1.43.4-2
2017-12-09 18:55:24 install findutils:armhf <none> 4.6.0+git+20161106-2
2017-12-09 18:55:24 status half-installed findutils:armhf 4.6.0+git+20161106-2
2017-12-09 18:55:25 status unpacked findutils:armhf 4.6.0+git+20161106-2
2017-12-09 18:55:25 status unpacked findutils:armhf 4.6.0+git+20161106-2
2017-12-09 18:55:25 install gcc-6-base:armhf <none> 6.3.0-18
2017-12-09 18:55:25 status half-installed gcc-6-base:armhf 6.3.0-18
2017-12-09 18:55:25 status unpacked gcc-6-base:armhf 6.3.0-18
2017-12-09 18:55:25 status unpacked gcc-6-base:armhf 6.3.0-18
2017-12-09 18:55:26 install libgcc1:armhf <none> 1:6.3.0-18
2017-12-09 18:55:26 status half-installed libgcc1:armhf 1:6.3.0-18
2017-12-09 18:55:26 status unpacked libgcc1:armhf 1:6.3.0-18
2017-12-09 18:55:26 status unpacked libgcc1:armhf 1:6.3.0-18
2017-12-09 18:55:26 install libc-bin:armhf <none> 2.24-11+deb9u1
2017-12-09 18:55:26 status half-installed libc-bin:armhf 2.24-11+deb9u1
2017-12-09 18:55:28 status unpacked libc-bin:armhf 2.24-11+deb9u1
2017-12-09 18:55:28 status unpacked libc-bin:armhf 2.24-11+deb9u1
2017-12-09 18:55:29 upgrade libc6:armhf 2.24-11+deb9u1 2.24-11+deb9u1
2017-12-09 18:55:29 status half-configured libc6:armhf 2.24-11+deb9u1
2017-12-09 18:55:29 status unpacked libc6:armhf 2.24-11+deb9u1
2017-12-09 18:55:29 status half-installed libc6:armhf 2.24-11+deb9u1
2017-12-09 18:55:31 status half-installed libc6:armhf 2.24-11+deb9u1
2017-12-09 18:55:31 status unpacked libc6:armhf 2.24-11+deb9u1
2017-12-09 18:55:31 status unpacked libc6:armhf 2.24-11+deb9u1
2017-12-09 18:55:31 install multiarch-support:armhf <none> 2.24-11+deb9u1
2017-12-09 18:55:31 status half-installed multiarch-support:armhf 2.24-11+deb9u1
2017-12-09 18:55:31 status unpacked multiarch-support:armhf 2.24-11+deb9u1
2017-12-09 18:55:32 status unpacked multiarch-support:armhf 2.24-11+deb9u1
2017-12-09 18:55:32 install grep:armhf <none> 2.27-2
2017-12-09 18:55:32 status half-installed grep:armhf 2.27-2
2017-12-09 18:55:32 status unpacked grep:armhf 2.27-2
2017-12-09 18:55:32 status unpacked grep:armhf 2.27-2
2017-12-09 18:55:32 install gzip:armhf <none> 1.6-5+b1
2017-12-09 18:55:32 status half-installed gzip:armhf 1.6-5+b1
2017-12-09 18:55:32 status unpacked gzip:armhf 1.6-5+b1
2017-12-09 18:55:32 status unpacked gzip:armhf 1.6-5+b1
2017-12-09 18:55:33 install hostname:armhf <none> 3.18+b1
2017-12-09 18:55:33 status half-installed hostname:armhf 3.18+b1
2017-12-09 18:55:33 status unpacked hostname:armhf 3.18+b1
2017-12-09 18:55:33 status unpacked hostname:armhf 3.18+b1
2017-12-09 18:55:33 install init-system-helpers:all <none> 1.48
2017-12-09 18:55:33 status half-installed init-system-helpers:all 1.48
2017-12-09 18:55:33 status unpacked init-system-helpers:all 1.48
2017-12-09 18:55:33 status unpacked init-system-helpers:all 1.48
2017-12-09 18:55:33 install libcap-ng0:armhf <none> 0.7.7-3+b1
2017-12-09 18:55:33 status half-installed libcap-ng0:armhf 0.7.7-3+b1
2017-12-09 18:55:34 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2017-12-09 18:55:34 status unpacked libcap-ng0:armhf 0.7.7-3+b1
2017-12-09 18:55:34 install libgcrypt20:armhf <none> 1.7.6-2+deb9u2
2017-12-09 18:55:34 status half-installed libgcrypt20:armhf 1.7.6-2+deb9u2
2017-12-09 18:55:34 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u2
2017-12-09 18:55:34 status unpacked libgcrypt20:armhf 1.7.6-2+deb9u2
2017-12-09 18:55:34 install libgpg-error0:armhf <none> 1.26-2
2017-12-09 18:55:34 status half-installed libgpg-error0:armhf 1.26-2
2017-12-09 18:55:35 status unpacked libgpg-error0:armhf 1.26-2
2017-12-09 18:55:35 status unpacked libgpg-error0:armhf 1.26-2
2017-12-09 18:55:35 install libselinux1:armhf <none> 2.6-3+b3
2017-12-09 18:55:35 status half-installed libselinux1:armhf 2.6-3+b3
2017-12-09 18:55:35 status unpacked libselinux1:armhf 2.6-3+b3
2017-12-09 18:55:35 status unpacked libselinux1:armhf 2.6-3+b3
2017-12-09 18:55:35 install libsemanage-common:all <none> 2.6-2
2017-12-09 18:55:35 status half-installed libsemanage-common:all 2.6-2
2017-12-09 18:55:36 status unpacked libsemanage-common:all 2.6-2
2017-12-09 18:55:36 status unpacked libsemanage-common:all 2.6-2
2017-12-09 18:55:36 install libsemanage1:armhf <none> 2.6-2
2017-12-09 18:55:36 status half-installed libsemanage1:armhf 2.6-2
2017-12-09 18:55:36 status unpacked libsemanage1:armhf 2.6-2
2017-12-09 18:55:36 status unpacked libsemanage1:armhf 2.6-2
2017-12-09 18:55:36 install libsepol1:armhf <none> 2.6-2
2017-12-09 18:55:36 status half-installed libsepol1:armhf 2.6-2
2017-12-09 18:55:37 status unpacked libsepol1:armhf 2.6-2
2017-12-09 18:55:37 status unpacked libsepol1:armhf 2.6-2
2017-12-09 18:55:37 install lsb-base:all <none> 9.20161125
2017-12-09 18:55:37 status half-installed lsb-base:all 9.20161125
2017-12-09 18:55:37 status unpacked lsb-base:all 9.20161125
2017-12-09 18:55:37 status unpacked lsb-base:all 9.20161125
2017-12-09 18:55:37 install liblz4-1:armhf <none> 0.0~r131-2+b1
2017-12-09 18:55:37 status half-installed liblz4-1:armhf 0.0~r131-2+b1
2017-12-09 18:55:38 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2017-12-09 18:55:38 status unpacked liblz4-1:armhf 0.0~r131-2+b1
2017-12-09 18:55:38 upgrade mawk:armhf 1.3.3-17+b3 1.3.3-17+b3
2017-12-09 18:55:38 status half-configured mawk:armhf 1.3.3-17+b3
2017-12-09 18:55:38 status unpacked mawk:armhf 1.3.3-17+b3
2017-12-09 18:55:38 status half-installed mawk:armhf 1.3.3-17+b3
2017-12-09 18:55:38 status half-installed mawk:armhf 1.3.3-17+b3
2017-12-09 18:55:38 status unpacked mawk:armhf 1.3.3-17+b3
2017-12-09 18:55:38 status unpacked mawk:armhf 1.3.3-17+b3
2017-12-09 18:55:38 install libncursesw5:armhf <none> 6.0+20161126-1+deb9u1
2017-12-09 18:55:38 status half-installed libncursesw5:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 status unpacked libncursesw5:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 install libtinfo5:armhf <none> 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 status half-installed libtinfo5:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 status unpacked libtinfo5:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 install ncurses-base:all <none> 6.0+20161126-1+deb9u1
2017-12-09 18:55:39 status half-installed ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 18:55:40 status unpacked ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 18:55:40 status unpacked ncurses-base:all 6.0+20161126-1+deb9u1
2017-12-09 18:55:40 install ncurses-bin:armhf <none> 6.0+20161126-1+deb9u1
2017-12-09 18:55:40 status half-installed ncurses-bin:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:40 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:40 status unpacked ncurses-bin:armhf 6.0+20161126-1+deb9u1
2017-12-09 18:55:40 install libpam-modules:armhf <none> 1.1.8-3.6
2017-12-09 18:55:41 status half-installed libpam-modules:armhf 1.1.8-3.6
2017-12-09 18:55:41 status unpacked libpam-modules:armhf 1.1.8-3.6
2017-12-09 18:55:41 status unpacked libpam-modules:armhf 1.1.8-3.6
2017-12-09 18:55:42 install libpam-modules-bin:armhf <none> 1.1.8-3.6
2017-12-09 18:55:42 status half-installed libpam-modules-bin:armhf 1.1.8-3.6
2017-12-09 18:55:42 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2017-12-09 18:55:42 status unpacked libpam-modules-bin:armhf 1.1.8-3.6
2017-12-09 18:55:42 install libpam-runtime:all <none> 1.1.8-3.6
2017-12-09 18:55:42 status half-installed libpam-runtime:all 1.1.8-3.6
2017-12-09 18:55:42 status unpacked libpam-runtime:all 1.1.8-3.6
2017-12-09 18:55:43 status unpacked libpam-runtime:all 1.1.8-3.6
2017-12-09 18:55:43 install libpam0g:armhf <none> 1.1.8-3.6
2017-12-09 18:55:43 status half-installed libpam0g:armhf 1.1.8-3.6
2017-12-09 18:55:43 status unpacked libpam0g:armhf 1.1.8-3.6
2017-12-09 18:55:43 status unpacked libpam0g:armhf 1.1.8-3.6
2017-12-09 18:55:43 install libpcre3:armhf <none> 2:8.39-3
2017-12-09 18:55:43 status half-installed libpcre3:armhf 2:8.39-3
2017-12-09 18:55:44 status unpacked libpcre3:armhf 2:8.39-3
2017-12-09 18:55:44 status unpacked libpcre3:armhf 2:8.39-3
2017-12-09 18:55:44 upgrade perl-base:armhf 5.24.1-3+deb9u2 5.24.1-3+deb9u2
2017-12-09 18:55:44 status half-configured perl-base:armhf 5.24.1-3+deb9u2
2017-12-09 18:55:44 status unpacked perl-base:armhf 5.24.1-3+deb9u2
2017-12-09 18:55:44 status half-installed perl-base:armhf 5.24.1-3+deb9u2
2017-12-09 18:55:45 status half-installed perl-base:armhf 5.24.1-3+deb9u2
2017-12-09 18:55:45 status unpacked perl-base:armhf 5.24.1-3+deb9u2
2017-12-09 18:55:45 status unpacked perl-base:armhf 5.24.1-3+deb9u2
2017-12-09 18:55:46 install sed:armhf <none> 4.4-1
2017-12-09 18:55:46 status half-installed sed:armhf 4.4-1
2017-12-09 18:55:46 status unpacked sed:armhf 4.4-1
2017-12-09 18:55:46 status unpacked sed:armhf 4.4-1
2017-12-09 18:55:46 install sensible-utils:all <none> 0.0.9
2017-12-09 18:55:46 status half-installed sensible-utils:all 0.0.9
2017-12-09 18:55:46 status unpacked sensible-utils:all 0.0.9
2017-12-09 18:55:46 status unpacked sensible-utils:all 0.0.9
2017-12-09 18:55:47 install login:armhf <none> 1:4.4-4.1
2017-12-09 18:55:47 status half-installed login:armhf 1:4.4-4.1
2017-12-09 18:55:47 status unpacked login:armhf 1:4.4-4.1
2017-12-09 18:55:47 status unpacked login:armhf 1:4.4-4.1
2017-12-09 18:55:48 install passwd:armhf <none> 1:4.4-4.1
2017-12-09 18:55:48 status half-installed passwd:armhf 1:4.4-4.1
2017-12-09 18:55:48 status unpacked passwd:armhf 1:4.4-4.1
2017-12-09 18:55:48 status unpacked passwd:armhf 1:4.4-4.1
2017-12-09 18:55:49 install libsystemd0:armhf <none> 232-25+deb9u1
2017-12-09 18:55:49 status half-installed libsystemd0:armhf 232-25+deb9u1
2017-12-09 18:55:49 status unpacked libsystemd0:armhf 232-25+deb9u1
2017-12-09 18:55:49 status unpacked libsystemd0:armhf 232-25+deb9u1
2017-12-09 18:55:49 install libudev1:armhf <none> 232-25+deb9u1
2017-12-09 18:55:49 status half-installed libudev1:armhf 232-25+deb9u1
2017-12-09 18:55:49 status unpacked libudev1:armhf 232-25+deb9u1
2017-12-09 18:55:49 status unpacked libudev1:armhf 232-25+deb9u1
2017-12-09 18:55:50 install sysvinit-utils:armhf <none> 2.88dsf-59.9
2017-12-09 18:55:50 status half-installed sysvinit-utils:armhf 2.88dsf-59.9
2017-12-09 18:55:50 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2017-12-09 18:55:50 status unpacked sysvinit-utils:armhf 2.88dsf-59.9
2017-12-09 18:55:50 install tar:armhf <none> 1.29b-1.1
2017-12-09 18:55:50 status half-installed tar:armhf 1.29b-1.1
2017-12-09 18:55:51 status unpacked tar:armhf 1.29b-1.1
2017-12-09 18:55:51 status unpacked tar:armhf 1.29b-1.1
2017-12-09 18:55:51 install tzdata:all <none> 2017c-0+deb9u1
2017-12-09 18:55:51 status half-installed tzdata:all 2017c-0+deb9u1
2017-12-09 18:55:53 status unpacked tzdata:all 2017c-0+deb9u1
2017-12-09 18:55:53 status unpacked tzdata:all 2017c-0+deb9u1
2017-12-09 18:55:53 install libustr-1.0-1:armhf <none> 1.0.4-6
2017-12-09 18:55:53 status half-installed libustr-1.0-1:armhf 1.0.4-6
2017-12-09 18:55:53 status unpacked libustr-1.0-1:armhf 1.0.4-6
2017-12-09 18:55:53 status unpacked libustr-1.0-1:armhf 1.0.4-6
2017-12-09 18:55:54 install bsdutils:armhf <none> 1:2.29.2-1
2017-12-09 18:55:54 status half-installed bsdutils:armhf 1:2.29.2-1
2017-12-09 18:55:54 status unpacked bsdutils:armhf 1:2.29.2-1
2017-12-09 18:55:54 status unpacked bsdutils:armhf 1:2.29.2-1
2017-12-09 18:55:54 install libblkid1:armhf <none> 2.29.2-1
2017-12-09 18:55:54 status half-installed libblkid1:armhf 2.29.2-1
2017-12-09 18:55:54 status unpacked libblkid1:armhf 2.29.2-1
2017-12-09 18:55:54 status unpacked libblkid1:armhf 2.29.2-1
2017-12-09 18:55:55 install libfdisk1:armhf <none> 2.29.2-1
2017-12-09 18:55:55 status half-installed libfdisk1:armhf 2.29.2-1
2017-12-09 18:55:55 status unpacked libfdisk1:armhf 2.29.2-1
2017-12-09 18:55:55 status unpacked libfdisk1:armhf 2.29.2-1
2017-12-09 18:55:55 install libmount1:armhf <none> 2.29.2-1
2017-12-09 18:55:55 status half-installed libmount1:armhf 2.29.2-1
2017-12-09 18:55:55 status unpacked libmount1:armhf 2.29.2-1
2017-12-09 18:55:55 status unpacked libmount1:armhf 2.29.2-1
2017-12-09 18:55:56 install libsmartcols1:armhf <none> 2.29.2-1
2017-12-09 18:55:56 status half-installed libsmartcols1:armhf 2.29.2-1
2017-12-09 18:55:56 status unpacked libsmartcols1:armhf 2.29.2-1
2017-12-09 18:55:56 status unpacked libsmartcols1:armhf 2.29.2-1
2017-12-09 18:55:56 install libuuid1:armhf <none> 2.29.2-1
2017-12-09 18:55:56 status half-installed libuuid1:armhf 2.29.2-1
2017-12-09 18:55:56 status unpacked libuuid1:armhf 2.29.2-1
2017-12-09 18:55:57 status unpacked libuuid1:armhf 2.29.2-1
2017-12-09 18:55:57 install mount:armhf <none> 2.29.2-1
2017-12-09 18:55:57 status half-installed mount:armhf 2.29.2-1
